FOOD_AND_DRINK VS HOUSE_AND_HOME:	 statistic= 2.422331835923;	 p_value= 0.015431527239170401;
FOOD_AND_DRINK VS LIBRARIES_AND_DEMO:	 statistic= 5.741404090667412;	 p_value= 9.579285987081007e-09;
FOOD_AND_DRINK VS MAPS_AND_NAVIGATION:	 statistic= -3.288386815420877;	 p_value= 0.001009599198982415;
FOOD_AND_DRINK VS MEDICAL:	 statistic= 5.129068531388813;	 p_value= 2.94096110331238e-07;
FOOD_AND_DRINK VS MUSIC_AND_AUDIO:	 statistic= -4.696516068574273;	 p_value= 2.6769873189726826e-06;
FOOD_AND_DRINK VS NEWS_AND_MAGAZINES:	 statistic= -7.1611724365287035;	 p_value= 8.424741684701653e-13;
FOOD_AND_DRINK VS PARENTING:	 statistic= 5.15942585834232;	 p_value= 2.500343406925058e-07;
FOOD_AND_DRINK VS PERSONALIZATION:	 statistic= -2.0210615739215685;	 p_value= 0.043290976836111036;
FOOD_AND_DRINK VS PHOTOGRAPHY:	 statistic= 2.0726907821586993;	 p_value= 0.038224825133465916;
FOOD_AND_DRINK VS PRODUCTIVITY:	 statistic= -5.297390766668017;	 p_value= 1.1965081867880293e-07;
FOOD_AND_DRINK VS SHOPPING:	 statistic= -11.0654082370814;	 p_value= 2.5967366799351008e-28;
FOOD_AND_DRINK VS SOCIAL:	 statistic= -9.368627478518832;	 p_value= 8.66649366846338e-21;
FOOD_AND_DRINK VS TOOLS:	 statistic= -5.1507530487278546;	 p_value= 2.631623003788069e-07;
FOOD_AND_DRINK VS WEATHER:	 statistic= 2.6506891546184517;	 p_value= 0.00804230161450997;
FOOD_AND_DRINK VS GAME:	 statistic= -6.361150843969269;	 p_value= 2.0144599027396156e-10;
HEALTH_AND_FITNESS VS HOUSE_AND_HOME:	 statistic= 4.956081728437712;	 p_value= 7.323502753335576e-07;
HEALTH_AND_FITNESS VS LIBRARIES_AND_DEMO:	 statistic= 5.65817840252134;	 p_value= 1.5981885838517216e-08;
HEALTH_AND_FITNESS VS LIFESTYLE:	 statistic= 3.0522075668500612;	 p_value= 0.0022791500585925945;
HEALTH_AND_FITNESS VS MEDICAL:	 statistic= 6.463356407863437;	 p_value= 1.0695574904891642e-10;
HEALTH_AND_FITNESS VS PARENTING:	 statistic= 5.754260693901831;	 p_value= 8.911772807529735e-09;
HEALTH_AND_FITNESS VS PHOTOGRAPHY:	 statistic= 2.8134584274342527;	 p_value= 0.004938019808821146;
HEALTH_AND_FITNESS VS SHOPPING:	 statistic= -2.2382480510030174;	 p_value= 0.025279794842618313;
HEALTH_AND_FITNESS VS SOCIAL:	 statistic= -2.154930725036739;	 p_value= 0.03123123943735875;
